album,song,lyrics
Taylor Swift,Tim McGraw,He said the way my blue eyes shined
Taylor Swift,Tim McGraw,Put those Georgia stars to shame that night
Taylor Swift,Tim McGraw,"I said, ""That's a lie"""
Taylor Swift,Tim McGraw,Just a boy in a Chevy truck
Taylor Swift,Tim McGraw,That had a tendency of gettin' stuck
Taylor Swift,Tim McGraw,On back roads at night
Taylor Swift,Tim McGraw,And I was right there beside him all summer long
Taylor Swift,Tim McGraw,And then the time we woke up to find that summer gone
Taylor Swift,Tim McGraw,But when you think Tim McGraw
Taylor Swift,Tim McGraw,I hope you think my favorite song
Taylor Swift,Tim McGraw,The one we danced to all night long
Taylor Swift,Tim McGraw,The moon like a spotlight on the lake
Taylor Swift,Tim McGraw,When you think happiness
Taylor Swift,Tim McGraw,I hope you think that little black dress
Taylor Swift,Tim McGraw,Think of my head on your chest
Taylor Swift,Tim McGraw,And my old faded blue jeans
Taylor Swift,Tim McGraw,When you think Tim McGraw
Taylor Swift,Tim McGraw,I hope you think of me
Taylor Swift,Tim McGraw,September saw a month of tears
Taylor Swift,Tim McGraw,And thankin' God that you weren't here
Taylor Swift,Tim McGraw,To see me like that
Taylor Swift,Tim McGraw,But in a box beneath my bed
Taylor Swift,Tim McGraw,Is a letter that you never read
Taylor Swift,Tim McGraw,From three summers back
Taylor Swift,Tim McGraw,It's hard not to find it all a little bittersweet
Taylor Swift,Tim McGraw,"And lookin' back on all of that, it's nice to believe"
Taylor Swift,Tim McGraw,When you think Tim McGraw
Taylor Swift,Tim McGraw,I hope you think my favorite song
Taylor Swift,Tim McGraw,The one we danced to all night long
Taylor Swift,Tim McGraw,The moon like a spotlight on the lake
Taylor Swift,Tim McGraw,When you think happiness
Taylor Swift,Tim McGraw,I hope you think that little black dress
Taylor Swift,Tim McGraw,Think of my head on your chest
Taylor Swift,Tim McGraw,And my old faded blue jeans
Taylor Swift,Tim McGraw,When you think Tim McGraw
Taylor Swift,Tim McGraw,I hope you think of me
Taylor Swift,Tim McGraw,And I'm back for the first time since then
Taylor Swift,Tim McGraw,I'm standin' on your street
Taylor Swift,Tim McGraw,And there's a letter left on your doorstep
Taylor Swift,Tim McGraw,And the first thing that you'll read is:
Taylor Swift,Tim McGraw,"""When you think Tim McGraw"
Taylor Swift,Tim McGraw,I hope you think my favorite song
Taylor Swift,Tim McGraw,Someday you'll turn your radio on
Taylor Swift,Tim McGraw,"I hope it takes you back to that place"""
Taylor Swift,Tim McGraw,When you think happiness
Taylor Swift,Tim McGraw,I hope you think that little black dress
Taylor Swift,Tim McGraw,Think of my head on your chest
Taylor Swift,Tim McGraw,And my old faded blue jeans
Taylor Swift,Tim McGraw,When you think Tim McGraw
Taylor Swift,Tim McGraw,I hope you think of me
Taylor Swift,Tim McGraw,"Oh, think of me"
Taylor Swift,Tim McGraw,Mmmm
Taylor Swift,Tim McGraw,He said the way my blue eyes shined
Taylor Swift,Tim McGraw,Put those Georgia stars to shame that night
Taylor Swift,Tim McGraw,"I said, ""That's a lie"""
Taylor Swift,Picture To Burn,"State the obvious, I didn't get my perfect fantasy"
Taylor Swift,Picture To Burn,I realize you love yourself more than you could ever love me
Taylor Swift,Picture To Burn,So go and tell your friends that I'm obsessive and crazy
Taylor Swift,Picture To Burn,That's fine I'll tell mine that you're gay!
Taylor Swift,Picture To Burn,By the way...
Taylor Swift,Picture To Burn,I hate that stupid old pickup truck
Taylor Swift,Picture To Burn,You never let me drive
Taylor Swift,Picture To Burn,You're a redneck heartbreak
Taylor Swift,Picture To Burn,Who's really bad at lying
Taylor Swift,Picture To Burn,So watch me strike a match
Taylor Swift,Picture To Burn,On all my wasted time
Taylor Swift,Picture To Burn,As far as I'm concerned
Taylor Swift,Picture To Burn,You're just another picture to burn!
Taylor Swift,Picture To Burn,There's no time for tears
Taylor Swift,Picture To Burn,I'm just sitting here planning my revenge
Taylor Swift,Picture To Burn,There's nothing stopping me
Taylor Swift,Picture To Burn,From going out with all of your best friends
Taylor Swift,Picture To Burn,And if you come around saying sorry to me
Taylor Swift,Picture To Burn,My daddy's gonna show you how sorry you'll be
Taylor Swift,Picture To Burn,'Cause I hate that stupid old pickup truck
Taylor Swift,Picture To Burn,You never let me drive
Taylor Swift,Picture To Burn,You're a redneck heartbreak
Taylor Swift,Picture To Burn,Who's really bad at lying
Taylor Swift,Picture To Burn,So watch me strike a match
Taylor Swift,Picture To Burn,On all my wasted time
Taylor Swift,Picture To Burn,As far as I'm concerned
Taylor Swift,Picture To Burn,You're just another picture to burn!
Taylor Swift,Picture To Burn,And if you're missing me
Taylor Swift,Picture To Burn,You'd better keep it to yourself
Taylor Swift,Picture To Burn,'Cause coming back around here
Taylor Swift,Picture To Burn,Would be bad for your health...
Taylor Swift,Picture To Burn,'Cause I hate that stupid old pickup truck
Taylor Swift,Picture To Burn,You never let me drive
Taylor Swift,Picture To Burn,You're a redneck heartbreak
Taylor Swift,Picture To Burn,Who's really bad at lying
Taylor Swift,Picture To Burn,So watch me strike a match
Taylor Swift,Picture To Burn,On all my wasted time
Taylor Swift,Picture To Burn,In case you haven't heard
Taylor Swift,Picture To Burn,I really really hate that...
Taylor Swift,Picture To Burn,Stupid old pickup truck
Taylor Swift,Picture To Burn,You never let me drive
Taylor Swift,Picture To Burn,You're a redneck heartbreak
Taylor Swift,Picture To Burn,Who's really bad at lying
Taylor Swift,Picture To Burn,So watch me strike a match
Taylor Swift,Picture To Burn,On all my wasted time
Taylor Swift,Picture To Burn,As far as I'm concerned
Taylor Swift,Picture To Burn,You're just another picture to burn!
Taylor Swift,Picture To Burn,"Burn, burn, burn, baby, burn"
Taylor Swift,Picture To Burn,You're just another picture to burn
Taylor Swift,Picture To Burn,"Baby, burn..."
Taylor Swift,Teardrops On My Guitar,Drew looks at me
Taylor Swift,Teardrops On My Guitar,I fake a smile so he won't see
Taylor Swift,Teardrops On My Guitar,That I want and I'm needing
Taylor Swift,Teardrops On My Guitar,Everything that we should be
Taylor Swift,Teardrops On My Guitar,"I'll bet she's beautiful, that girl he talks about"
Taylor Swift,Teardrops On My Guitar,And she's got everything that I have to live without
Taylor Swift,Teardrops On My Guitar,Drew talks to me
Taylor Swift,Teardrops On My Guitar,I laugh 'cause it's just so funny
Taylor Swift,Teardrops On My Guitar,That I can't even see
Taylor Swift,Teardrops On My Guitar,Anyone when he's with me
Taylor Swift,Teardrops On My Guitar,"He says he's so in love, he's finally got it right"
Taylor Swift,Teardrops On My Guitar,I wonder if he knows he's all I think about at night
Taylor Swift,Teardrops On My Guitar,He's the reason for the teardrops on my guitar
Taylor Swift,Teardrops On My Guitar,The only thing that keeps me wishing on a wishing star
Taylor Swift,Teardrops On My Guitar,He's the song in the car I keep singing. Don't know why I do
Taylor Swift,Teardrops On My Guitar,Drew walks by me
Taylor Swift,Teardrops On My Guitar,Can he tell that I can't breathe?
Taylor Swift,Teardrops On My Guitar,"And there he goes, so perfectly"
Taylor Swift,Teardrops On My Guitar,The kind of flawless I wish I could be
Taylor Swift,Teardrops On My Guitar,"She'd better hold him tight, give him all her love"
Taylor Swift,Teardrops On My Guitar,Look in those beautiful eyes and know she's lucky 'cause
Taylor Swift,Teardrops On My Guitar,He's the reason for the teardrops on my guitar
Taylor Swift,Teardrops On My Guitar,The only thing that keeps me wishing on a wishing star
Taylor Swift,Teardrops On My Guitar,He's the song in the car I keep singing. Don't know why I do
Taylor Swift,Teardrops On My Guitar,"So, I drive home alone"
Taylor Swift,Teardrops On My Guitar,As I turn out the light
Taylor Swift,Teardrops On My Guitar,I'll put his picture down
Taylor Swift,Teardrops On My Guitar,And maybe get some sleep tonight
Taylor Swift,Teardrops On My Guitar,'Cause he's the reason for the teardrops on my guitar
Taylor Swift,Teardrops On My Guitar,The only one who's got enough of me to break my heart
Taylor Swift,Teardrops On My Guitar,He's the song in the car I keep singing. Don't know why I do
Taylor Swift,Teardrops On My Guitar,"He's the time taken up, but there's never enough"
Taylor Swift,Teardrops On My Guitar,And he's all that I need to fall into
Taylor Swift,Teardrops On My Guitar,Drew looks at me
Taylor Swift,Teardrops On My Guitar,I fake a smile so he won't see
Taylor Swift,A Place In This World,"I don't know what I want, so don't ask me"
Taylor Swift,A Place In This World,'Cause I'm still trying to figure it out
Taylor Swift,A Place In This World,"Don't know what's down this road, I'm just walking"
Taylor Swift,A Place In This World,Trying to see through the rain coming down
Taylor Swift,A Place In This World,Even though I'm not the only one
Taylor Swift,A Place In This World,Who feels the way I do
Taylor Swift,A Place In This World,"I'm alone, on my own, and that's all I know"
Taylor Swift,A Place In This World,"I'll be strong, I'll be wrong, oh but life goes on"
Taylor Swift,A Place In This World,"Oh, I'm just a girl, trying to find a place in this world"
Taylor Swift,A Place In This World,"Got the radio on, my old blue jeans"
Taylor Swift,A Place In This World,And I'm wearing my heart on my sleeve
Taylor Swift,A Place In This World,"Feeling lucky today, got the sunshine"
Taylor Swift,A Place In This World,Could you tell me what more do I need
Taylor Swift,A Place In This World,"And tomorrow's just a mystery, oh yeah"
Taylor Swift,A Place In This World,But that's OK
Taylor Swift,A Place In This World,"I'm alone, on my own, and that's all I know"
Taylor Swift,A Place In This World,"I'll be strong, I'll be wrong, oh but life goes on"
Taylor Swift,A Place In This World,"Oh, I'm just a girl, trying to find a place in this world"
Taylor Swift,A Place In This World,Maybe I'm just a girl on a mission
Taylor Swift,A Place In This World,But I'm ready to fly
Taylor Swift,A Place In This World,"I'm alone, on my own, and that's all I know"
Taylor Swift,A Place In This World,"I'll be strong, I'll be wrong, oh but life goes on"
Taylor Swift,A Place In This World,"Oh I'm alone, on my own, and that's all I know"
Taylor Swift,A Place In This World,"Oh I'm just a girl, trying to find a place in this world"
Taylor Swift,A Place In This World,Oh I'm just a girl
Taylor Swift,A Place In This World,"Oh I'm just a girl, oh, oh"
Taylor Swift,A Place In This World,Oh I'm just a girl
Taylor Swift,Cold As You,You have a way of coming easily to me
Taylor Swift,Cold As You,"And when you take, you take the very best of me"
Taylor Swift,Cold As You,So I start a fight 'cause I need to feel something
Taylor Swift,Cold As You,And you do what you want 'cause I'm not what you wanted
Taylor Swift,Cold As You,"Oh, what a shame, what a rainy ending given to a perfect day"
Taylor Swift,Cold As You,"Just walk away, ain't no use defending words that you will never say"
Taylor Swift,Cold As You,And now that I'm sitting here thinking it through
Taylor Swift,Cold As You,I've never been anywhere cold as you
Taylor Swift,Cold As You,You put up walls and paint them all a shade of gray
Taylor Swift,Cold As You,And I stood there loving you and wished them all away
Taylor Swift,Cold As You,And you come away with a great little story
Taylor Swift,Cold As You,Of a mess of a dreamer with the nerve to adore you
Taylor Swift,Cold As You,"Oh, what a shame, what a rainy ending given to a perfect day"
Taylor Swift,Cold As You,"So just walk away, ain't no use defending words that you will never say"
Taylor Swift,Cold As You,And now that I'm sitting here thinking it through
Taylor Swift,Cold As You,I've never been anywhere cold as you
Taylor Swift,Cold As You,"You never did give a damn thing, honey, but I cried, cried for you"
Taylor Swift,Cold As You,"And I know you wouldn't have told nobody if I died, died for you, died for you"
Taylor Swift,Cold As You,"Oh, what a shame, what a rainy ending given to a perfect day"
Taylor Swift,Cold As You,Every smile you fake is so condescending counting all the scars you made
Taylor Swift,Cold As You,And now that I'm sitting here thinking it through
Taylor Swift,Cold As You,I've never been anywhere cold as you
Taylor Swift,The Outside,I didn't know what I would find
Taylor Swift,The Outside,When I went looking for a reason
Taylor Swift,The Outside,I know I didn't read between the lines
Taylor Swift,The Outside,"And, baby, I've got nowhere to go"
Taylor Swift,The Outside,I tried to take the road less traveled by
Taylor Swift,The Outside,But nothing seems to work the first few times
Taylor Swift,The Outside,Am I right?
Taylor Swift,The Outside,So how can I ever try to be better?
Taylor Swift,The Outside,Nobody ever lets me in
Taylor Swift,The Outside,I can still see you
Taylor Swift,The Outside,This ain't the best view
Taylor Swift,The Outside,On the outside looking in
Taylor Swift,The Outside,And I've been a lot of lonely places
Taylor Swift,The Outside,I've never been on the outside
Taylor Swift,The Outside,"You saw me there, but never knew"
Taylor Swift,The Outside,That I would give it all up to be
Taylor Swift,The Outside,"A part of this, a part of you"
Taylor Swift,The Outside,And now it's all too late. So you see
Taylor Swift,The Outside,You could've helped if you had wanted to
Taylor Swift,The Outside,But no one notices until it's too late to do anything
Taylor Swift,The Outside,So how can I ever try to be better?
Taylor Swift,The Outside,Nobody ever lets me in
Taylor Swift,The Outside,I can still see you
Taylor Swift,The Outside,This ain't the best view
Taylor Swift,The Outside,On the outside looking in
Taylor Swift,The Outside,And I've been a lot of lonely places
Taylor Swift,The Outside,I've never been on the outside
Taylor Swift,The Outside,"Oh, yeah"
Taylor Swift,The Outside,So how can I ever try to be better?
Taylor Swift,The Outside,Nobody ever lets me in
Taylor Swift,The Outside,And I can still see you
Taylor Swift,The Outside,This ain't the best view
Taylor Swift,The Outside,On the outside looking in
Taylor Swift,The Outside,And I've been a lot of lonely places
Taylor Swift,The Outside,I've never been on the outside
Taylor Swift,Tied Together With A Smile,Seems the only one who doesn't see your beauty
Taylor Swift,Tied Together With A Smile,Is the face in the mirror looking back at you
Taylor Swift,Tied Together With A Smile,You walk around here thinking you're not pretty
Taylor Swift,Tied Together With A Smile,But that's not true 'cause I know you
Taylor Swift,Tied Together With A Smile,"Hold on, baby, you're losing it"
Taylor Swift,Tied Together With A Smile,"The water's high, you're jumping into it"
Taylor Swift,Tied Together With A Smile,And letting go
Taylor Swift,Tied Together With A Smile,And no one knows
Taylor Swift,Tied Together With A Smile,"That you cry, but you don't tell anyone"
Taylor Swift,Tied Together With A Smile,That you might not be the golden one
Taylor Swift,Tied Together With A Smile,And you're tied together with a smile
Taylor Swift,Tied Together With A Smile,But you're coming undone
Taylor Swift,Tied Together With A Smile,I guess it's true that love was all you wanted
Taylor Swift,Tied Together With A Smile,'Cause you're giving it away like it's extra change
Taylor Swift,Tied Together With A Smile,Hoping it will end up in his pocket
Taylor Swift,Tied Together With A Smile,But he leaves you out like a penny in the rain
Taylor Swift,Tied Together With A Smile,"Oh, 'cause it's not his price to pay"
Taylor Swift,Tied Together With A Smile,It's not his price to pay
Taylor Swift,Tied Together With A Smile,"Hold on, baby, you're losing it"
Taylor Swift,Tied Together With A Smile,"The water's high, you're jumping into it"
Taylor Swift,Tied Together With A Smile,And letting go
Taylor Swift,Tied Together With A Smile,And no one knows
Taylor Swift,Tied Together With A Smile,"That you cry, but you don't tell anyone"
Taylor Swift,Tied Together With A Smile,That you might not be the golden one
Taylor Swift,Tied Together With A Smile,And you're tied together with a smile
Taylor Swift,Tied Together With A Smile,But you're coming undone
Taylor Swift,Tied Together With A Smile,"Hold on, baby, you're losing it"
Taylor Swift,Tied Together With A Smile,"The water's high, you're jumping into it"
Taylor Swift,Tied Together With A Smile,And letting go
Taylor Swift,Tied Together With A Smile,And no one knows
Taylor Swift,Tied Together With A Smile,"That you cry, but you don't tell anyone"
Taylor Swift,Tied Together With A Smile,That you might not be the golden one
Taylor Swift,Tied Together With A Smile,And you're tied together with a smile
Taylor Swift,Tied Together With A Smile,But you're coming undone
Taylor Swift,Tied Together With A Smile,You're tied together with a smile
Taylor Swift,Tied Together With A Smile,But you're coming undone
Taylor Swift,Tied Together With A Smile,"Goodbye, baby"
Taylor Swift,Tied Together With A Smile,"With a smile, baby, baby"
Taylor Swift,Stay Beautiful,Cory's eyes are like a jungle
Taylor Swift,Stay Beautiful,"He smiles, it's like the radio"
Taylor Swift,Stay Beautiful,He whispers songs into my window
Taylor Swift,Stay Beautiful,In words that nobody knows
Taylor Swift,Stay Beautiful,There's pretty girls on every corner
Taylor Swift,Stay Beautiful,That watch him as he's walking home
Taylor Swift,Stay Beautiful,"Saying, ""Does he know?"""
Taylor Swift,Stay Beautiful,Will you ever know?
Taylor Swift,Stay Beautiful,You're beautiful
Taylor Swift,Stay Beautiful,Every little piece love
Taylor Swift,Stay Beautiful,And don't you know
Taylor Swift,Stay Beautiful,You're really gonna be someone
Taylor Swift,Stay Beautiful,Ask anyone
Taylor Swift,Stay Beautiful,And when you find everything you looked for
Taylor Swift,Stay Beautiful,I hope your life leads you back to my door
Taylor Swift,Stay Beautiful,"Oh, but if it don't"
Taylor Swift,Stay Beautiful,Stay beautiful
Taylor Swift,Stay Beautiful,Cory finds another way to be
Taylor Swift,Stay Beautiful,The highlight of my day
Taylor Swift,Stay Beautiful,I'm taking pictures in my mind
Taylor Swift,Stay Beautiful,So I can save them for a rainy day
Taylor Swift,Stay Beautiful,It's hard to make a conversation
Taylor Swift,Stay Beautiful,When he's taking my breath away
Taylor Swift,Stay Beautiful,"I should say, hey, by the way"
Taylor Swift,Stay Beautiful,You're beautiful
Taylor Swift,Stay Beautiful,Every little piece love
